transaccion_id,comercio_id,comercio_nombre,fecha,hora,dia_semana,mes,trimestre,cliente_id,segmento_cliente,categoria_producto,n_items,monto_usd,metodo_pago,estado,canal
TXN-COM001-01114,COM001,Tienda La Esquina de Doña Rosa,2025-11-18,14:20,Tuesday,November,Q4,CLI184,Inactivo,Lácteos y huevos,1,1.91,QR Deuna,Completada,Presencial
TXN-COM002-01640,COM002,Botica Don Jacinto,2026-02-06,18:06,Friday,February,Q1,CLI311,Ocasional,Medicamentos OTC,1,8.9,QR Deuna,Completada,Presencial
TXN-COM002-01384,COM002,Botica Don Jacinto,2025-12-23,12:48,Tuesday,December,Q4,CLI059,Frecuente,Antibióticos y receta,1,18.55,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-00837,COM001,Tienda La Esquina de Doña Rosa,2025-09-21,07:01,Sunday,September,Q3,CLI293,Nuevo,Lácteos y huevos,3,3.78,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-01263,COM002,Botica Don Jacinto,2025-12-11,10:59,Thursday,December,Q4,CLI102,Ocasional,Vitaminas y suplementos,3,11.38,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-00401,COM003,Cevichería El Rincón Costeño,2025-07-05,12:38,Saturday,July,Q3,CLI169,Frecuente,Arroz con menestra,2,11.47,QR Deuna,Completada,Presencial
TXN-COM003-00995,COM003,Cevichería El Rincón Costeño,2025-10-22,13:31,Wednesday,October,Q4,CLI287,Ocasional,Arroz con menestra,1,10.2,QR Deuna,Completada,Presencial
TXN-COM002-00465,COM002,Botica Don Jacinto,2025-07-18,08:20,Friday,July,Q3,CLI217,Ocasional,Antibióticos y receta,1,12.91,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-01936,COM003,Cevichería El Rincón Costeño,2026-04-07,12:55,Tuesday,April,Q2,CLI233,Ocasional,Ceviche mixto,1,9.87,Pago a Contacto,Completada,Presencial
TXN-COM003-00742,COM003,Cevichería El Rincón Costeño,2025-09-06,10:35,Saturday,September,Q3,CLI080,Frecuente,Mariscos al vapor,4,8.59,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-00061,COM003,Cevichería El Rincón Costeño,2025-04-30,12:59,Wednesday,April,Q2,CLI111,Ocasional,Ceviche de camarón,2,7.5,Pago a Contacto,Completada,Presencial
TXN-COM003-00435,COM003,Cevichería El Rincón Costeño,2025-07-11,13:52,Friday,July,Q3,CLI005,Frecuente,Ceviche de camarón,5,10.48,Link de Pago Deuna,Anulada,WhatsApp/Redes
TXN-COM003-01921,COM003,Cevichería El Rincón Costeño,2026-04-04,14:08,Saturday,April,Q2,CLI259,Ocasional,Almuerzo del día,2,10.99,Pago a Contacto,Pendiente,WhatsApp/Redes
TXN-COM001-00857,COM001,Tienda La Esquina de Doña Rosa,2025-09-25,11:53,Thursday,September,Q3,CLI271,Nuevo,Bebidas,3,3.97,Pago a Contacto,Anulada,WhatsApp/Redes
TXN-COM002-01666,COM002,Botica Don Jacinto,2026-02-09,11:44,Monday,February,Q1,CLI145,Ocasional,Cosméticos básicos,5,5.25,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00472,COM002,Botica Don Jacinto,2025-07-19,16:02,Saturday,July,Q3,CLI029,Ocasional,Cosméticos básicos,5,18.8,Link de Pago Deuna,Completada,Presencial
TXN-COM002-00397,COM002,Botica Don Jacinto,2025-07-05,08:35,Saturday,July,Q3,CLI006,Frecuente,Higiene personal,1,11.08,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-01696,COM003,Cevichería El Rincón Costeño,2026-02-10,14:19,Tuesday,February,Q1,CLI253,Inactivo,Almuerzo del día,3,8.54,QR Deuna,Completada,Presencial
TXN-COM002-00432,COM002,Botica Don Jacinto,2025-07-12,17:34,Saturday,July,Q3,CLI094,Ocasional,Medicamentos OTC,1,11.09,QR Deuna,Completada,Presencial
